iter	Passed	Remaining
407	5664	8219
408	5677	8204
409	5690	8188
410	5703	8174
411	5718	8161
412	5732	8147
413	5744	8131
414	5759	8119
415	5773	8104
416	5786	8089
417	5800	8076
418	5814	8062
419	5826	8046
420	5840	8032
421	5854	8018
422	5868	8005
423	5882	7991
424	5895	7975
425	5909	7961
426	5922	7947
427	5936	7933
428	5949	7918
429	5962	7904
430	5976	7889
431	5989	7875
432	6004	7862
433	6017	7848
434	6033	7836
435	6046	7821
436	6059	7806
437	6073	7792
438	6086	7777
439	6100	7763
440	6114	7750
441	6126	7733
442	6138	7718
443	6152	7704
444	6166	7690
445	6180	7677
446	6194	7663
447	6207	7648
448	6220	7633
449	6234	7620
450	6247	7605
451	6260	7590
452	6274	7575
453	6287	7561
454	6300	7547
455	6315	7533
456	6328	7519
457	6341	7504
458	6355	7491
459	6369	7476
460	6382	7462
461	6396	7449
462	6410	7434
463	6422	7419
464	6437	7406
465	6450	7392
466	6464	7378
467	6478	7364
468	6489	7347
469	6503	7333
470	6517	7319
471	6530	7305
472	6544	7291
473	6559	7278
474	6572	7263
475	6584	7249
476	6598	7234
477	6611	7220
478	6625	7206
479	6637	7191
480	6651	7177
481	6664	7162
482	6678	7148
483	6688	7131
484	6701	7116
485	6715	7101
486	6728	7088
487	6742	7074
488	6755	7059
489	6769	7045
490	6781	7030
491	6795	7016
492	6809	7002
493	6821	6987
494	6835	6974
495	6849	6960
496	6863	6946
497	6877	6932
498	6890	6918
499	6903	6903
500	6917	6889
501	6929	6874
502	6942	6860
503	6956	6846
504	6969	6831
505	6982	6816
506	6995	6802
507	7009	6789
508	7022	6774
509	7034	6759
510	7048	6744
511	7062	6731
512	7078	6719
513	7091	6705
514	7106	6692
515	7119	6677
516	7131	6662
517	7145	6649
518	7158	6634
519	7171	6620
520	7185	6606
521	7198	6591
522	7211	6576
523	7225	6564
524	7239	6549
525	7252	6535
526	7266	6521
527	7281	6509
528	7294	6494
529	7308	6481
530	7321	6467
531	7334	6451
532	7347	6437
533	7361	6423
534	7374	6409
535	7388	6396
536	7401	6381
537	7414	6366
538	7429	6354
539	7441	6339
540	7455	6325
541	7469	6311
542	7482	6297
543	7495	6283
544	7509	6269
545	7523	6256
546	7537	6241
547	7550	6227
548	7562	6212
549	7576	6198
550	7590	6185
551	7604	6171
552	7616	6156
553	7630	6142
554	7645	6129
555	7658	6115
556	7671	6101
557	7685	6087
558	7697	6072
559	7711	6059
560	7724	6044
561	7737	6030
562	7751	6016
563	7765	6002
564	7778	5988
565	7791	5974
566	7805	5960
567	7819	5946
568	7832	5932
569	7844	5918
570	7859	5904
571	7873	5891
572	7886	5877
573	7901	5864
574	7916	5851
575	7930	5837
576	7944	5823
577	7957	5809
578	7970	5795
579	7985	5782
580	7998	5768
581	8010	5753
582	8025	5740
583	8038	5726
584	8052	5712
585	8066	5699
586	8079	5684
587	8093	5670
588	8105	5655
589	8118	5641
590	8132	5628
591	8147	5614
592	8159	5600
593	8173	5586
594	8187	5572
595	8201	5559
596	8214	5545
597	8227	5530
598	8241	5517
599	8254	5503
600	8269	5489
601	8282	5475
602	8296	5461
603	8309	5448
604	8323	5434
605	8336	5420
606	8351	5407
607	8367	5394
608	8382	5381
609	8392	5365
610	8405	5351
611	8419	5337
612	8433	5324
613	8447	5310
614	8460	5296
615	8473	5282
616	8485	5267
617	8500	5254
618	8513	5240
619	8527	5226
620	8540	5212
621	8553	5197
622	8568	5184
623	8582	5171
624	8595	5157
625	8607	5142
626	8622	5129
627	8634	5114
628	8647	5100
629	8660	5086
630	8673	5072
631	8686	5058
632	8699	5043
633	8712	5029
634	8726	5015
635	8740	5002
636	8753	4988
637	8765	4973
638	8780	4960
639	8794	4947
640	8808	4933
641	8823	4920
642	8837	4906
643	8850	4892
644	8863	4878
645	8876	4864
646	8891	4851
647	8906	4837
648	8920	4824
649	8933	4810
650	8946	4796
651	8959	4781
652	8973	4768
653	8985	4753
654	8998	4739
655	9013	4726
656	9026	4712
657	9039	4698
658	9054	4685
659	9066	4670
660	9079	4656
661	9092	4642
662	9105	4628
663	9120	4615
664	9133	4601
665	9146	4587
666	9160	4573
667	9174	4559
668	9187	4545
669	9199	4531
670	9213	4517
671	9225	4503
672	9239	4489
673	9253	4475
674	9266	4461
675	9278	4447
676	9293	4434
677	9307	4420
678	9320	4406
679	9334	4392
680	9346	4378
681	9360	4364
682	9374	4351
683	9392	4339
684	9408	4326
685	9424	4313
686	9440	4301
687	9457	4288
688	9475	4277
689	9491	4264
690	9511	4253
691	9524	4239
692	9537	4225
693	9552	4211
694	9566	4198
695	9578	4183
696	9593	4170
697	9605	4156
698	9621	4143
699	9635	4129
700	9649	4115
701	9661	4101
702	9674	4087
703	9687	4073
704	9702	4059
705	9716	4046
706	9728	4031
707	9741	4017
708	9755	4004
709	9768	3990
710	9781	3976
711	9794	3961
712	9808	3948
713	9821	3933
714	9835	3920
715	9847	3906
716	9860	3891
717	9874	3878
718	9888	3864
719	9901	3850
720	9915	3836
721	9927	3822
722	9940	3808
723	9953	3794
724	9967	3780
725	9980	3766
726	9995	3753
727	10007	3739
728	10022	3725
729	10036	3712
730	10050	3698
731	10066	3685
732	10080	3672
733	10093	3657
734	10108	3644
735	10121	3630
736	10135	3617
737	10151	3603
738	10167	3590
739	10184	3578
740	10200	3565
741	10216	3552
742	10236	3540
743	10255	3528
744	10273	3516
745	10289	3503
746	10302	3489
747	10317	3475
748	10330	3461
749	10342	3447
750	10355	3433
751	10369	3419
752	10383	3405
753	10395	3391
754	10410	3378
755	10423	3364
756	10437	3350
757	10451	3336
758	10465	3323
759	10481	3309
760	10495	3296
761	10507	3281
762	10521	3268
763	10534	3254
764	10547	3240
765	10563	3226
766	10577	3213
767	10590	3199
768	10603	3185
769	10616	3171
770	10630	3157
771	10644	3143
772	10655	3129
773	10669	3115
774	10683	3101
775	10697	3087
776	10711	3074
777	10725	3060
778	10739	3046
779	10751	3032
780	10764	3018
781	10778	3004
782	10792	2991
783	10805	2976
784	10818	2963
785	10832	2949
786	10846	2935
787	10860	2921
788	10875	2908
789	10889	2894
790	10902	2880
791	10917	2867
792	10930	2853
793	10943	2839
794	10958	2825
795	10971	2811
796	10984	2797
797	10998	2784
798	11011	2770
799	11024	2756
800	11038	2742
801	11050	2728
802	11063	2714
803	11077	2700
804	11091	2686
805	11102	2672
806	11117	2658
807	11131	2645
808	11144	2631
809	11158	2617
810	11171	2603
811	11185	2589
812	11198	2575
813	11210	2561
814	11224	2547
815	11239	2534
816	11251	2520
817	11265	2506
818	11279	2492
819	11293	2479
820	11306	2465
821	11319	2451
822	11332	2437
823	11346	2423
824	11362	2410
825	11379	2397
826	11394	2383
827	11410	2370
828	11427	2357
829	11445	2344
830	11459	2330
831	11472	2316
832	11486	2302
833	11498	2288
834	11510	2274
835	11524	2260
836	11539	2247
837	11555	2233
838	11568	2219
839	11580	2205
840	11594	2192
841	11608	2178
842	11622	2164
843	11637	2151
844	11649	2136
845	11662	2122
846	11676	2109
847	11689	2095
848	11702	2081
849	11717	2067
850	11731	2054
851	11744	2040
852	11759	2026
853	11773	2012
854	11789	1999
855	11802	1985
856	11815	1971
857	11829	1957
858	11843	1943
859	11855	1930
860	11870	1916
861	11883	1902
862	11894	1888
863	11908	1874
864	11922	1860
865	11935	1846
866	11951	1833
867	11966	1819
868	11979	1805
869	11993	1792
870	12006	1778
871	12020	1764
872	12035	1750
873	12048	1736
874	12061	1723
875	12074	1709
876	12088	1695
877	12102	1681
878	12115	1667
879	12127	1653
880	12141	1639
881	12154	1626
882	12168	1612
883	12183	1598
884	12196	1584
885	12209	1570
886	12223	1557
887	12237	1543
888	12251	1529
889	12266	1516
890	12279	1502
891	12291	1488
892	12305	1474
893	12319	1460
894	12333	1446
895	12346	1433
896	12359	1419
897	12372	1405
898	12388	1391
899	12403	1378
900	12418	1364
901	12433	1350
902	12447	1337
903	12462	1323
904	12474	1309
905	12488	1295
906	12502	1281
907	12516	1268
908	12529	1254
909	12542	1240
910	12556	1226
911	12570	1212
912	12584	1199
913	12602	1185
914	12619	1172
915	12634	1158
916	12650	1144
917	12666	1131
918	12684	1118
919	12704	1104
920	12717	1090
921	12731	1077
922	12746	1063
923	12758	1049
924	12772	1035
925	12785	1021
926	12798	1007
927	12811	993
928	12826	980
929	12839	966
930	12853	952
931	12867	938
932	12880	924
933	12894	911
934	12907	897
935	12920	883
936	12939	870
937	12963	856
938	12983	843
939	13002	829
940	13020	816
941	13036	802
942	13051	788
943	13065	775
944	13079	761
945	13093	747
946	13105	733
947	13119	719
948	13131	705
949	13145	691
950	13157	677
951	13170	664
952	13183	650
953	13197	636
